USA01,USA02,USA03,USA04,USA05,USA06,USA07,CA01,CA02,CA03,CA04,CA05,CA06,CA07,DA01,DA02,DA03,DA04,DA05,DA06,DA07
71100000,70600000,69000000,74200000,108000000,,70100000,300000000,298000000,,291000000,284000000,267000000,276000000,,312000,292000,252000,282000,326000,309000
,,,,,,,,,,,,,,211000000,,,,,,
,,,,81400000,,,94700000,,,,,,,179000000,,,,,,
,,,,55700000,,,,,,,,,,149000000,,,,,,
5310000,4940000,5200000,,20300000,5520000,5160000,23700000,7470000,7770000,7620000,7510000,7070000,6850000,141000000,42000000,37700000,36400000,35200000,39600000,41400000
,,,,,,,,6430000,,,,,,,8130000,137000000,,,,
20100000,18600000,17800000,18600000,,19600000,18500000,10800000,6050000,6290000,6160000,6130000,5460000,5750000,121000000,43000000,40100000,36100000,41300000,42200000,43200000
14500000,14900000,14000000,13700000,46300000,13600000,14500000,110000000,52200000,50100000,46200000,47100000,43800000,44300000,96800000,41700000,43800000,37200000,36800000,38500000,37100000
89000000,105000000,85800000,103000000,,20600000,88400000,,11400000,13000000,11700000,11800000,11700000,10700000,,1310000,1370000,1130000,846000,1090000,1150000
,,,,103000000,,,63100000,,,,,,,96100000,,,,,,
2030000,2910000,3480000,3080000,93000000,3030000,3100000,,,,1690000,1570000,,1620000,53700000,2190000,2160000,2080000,1670000,2040000,1710000
,,,,,,,78700000,,,,,,,92300000,,,,,,
,,,,46500000,,,87300000,,,,,,,,,,,,,
17300000,15400000,15100000,15100000,40600000,16900000,16100000,86500000,5300000,68600000,,,55600000,,,,,,,,
8190000,8350000,7940000,8080000,13700000,8100000,8110000,80900000,58400000,,60100000,,,53000000,,31300000,32400000,28700000,28800000,28800000,29800000
,,2700000,,,,2790000,19800000,925000,971000,948000,,666000,889000,76200000,,1330000,1280000,1460000,1280000,1440000
,,,,,18600000,,,,,,,24700000,,,,,69700000,7490000,,
,,,,,,,,,,,,46900000,15100000,,,21300000,67500000,,,
26900000,27500000,26600000,26200000,,26200000,26400000,,44700000,45600000,42000000,42500000,42800000,40200000,,64200000,66100000,58800000,57500000,59600000,59300000
,,,,41700000,,,62700000,,,,,,,,,,,,,
